,Environment,Transition Type,Num GT Clusters,Num Learned Clusters,Num Rollouts,Algorithm,Initialisation,Replicate,Iterations,Responsibility Matrix,Reward Weights,Runtime (s)
33,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,33,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.26096444832396, 9.238443096538642], [9.492455260006018, 0.0], [10.0, 0.0], [9.273852690511704, 8.590929463466734], [9.463158021986143, 0.0]]]",9.778303
34,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,34,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.52692926003558, 9.293917483752194], [9.331822213067808, 0.0], [10.0, 0.0], [8.831663752979333, 8.423521284665894], [9.537333511308761, 5.143285857308716]]]",9.973536
35,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,35,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.221147397619257, 9.311126411464594], [9.531131424832543, 0.0], [10.0, 0.0], [8.490745771789987, 8.671347774974949], [9.691690710683062, 7.614044088545572]]]",9.802218
36,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,36,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.190919075669564, 9.331779083151158], [9.521107571002426, 0.0], [10.0, 0.0], [9.49399810066326, 8.93318115645912], [9.641931116294831, 0.0]]]",9.753817
37,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,37,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.079195646601981, 9.228396068496748], [10.0, 0.0], [9.539908739957347, 0.0], [8.854268855363417, 8.192896685025868], [9.50580326700004, 6.817436574849997]]]",9.826325
38,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,38,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[7.453739540859747, 8.522928515063276], [9.735025619611001, 0.0], [8.679377106218055, 0.0], [7.964189426204889, 7.7606834429999045], [8.939519731117485, 5.106792854812974]]]",9.815499
39,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,39,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.261618930033393, 9.295285759025331], [10.0, 0.0], [9.652053008341825, 0.0], [9.177420799171836, 8.934290576767427], [9.563573404000943, 7.783454006151756]]]",9.666421000000001
40,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,40,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[7.711323206767393, 8.755387659605136], [9.743822999095489, 0.0], [8.692898419700054, 0.0], [8.551699855212895, 9.068313287619754], [9.19211610193918, 7.306455921823285]]]",9.704476
41,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,41,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.118416787623982, 9.312838964038077], [9.701055344238675, 0.0], [10.0, 0.0], [8.529798484755275, 8.096070532869113], [9.664853999526674, 5.781408483459287]]]",9.945841
42,NChain,stochastic,2,1,20,BV-MaxEnt,gmm,42,1,"[[1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0], [1.0]]","[[[8.125014089047951, 9.17763528855178], [10.0, 0.0], [9.233903083385128, 0.0], [9.03085604630083, 8.910562447439576], [9.525805095610135, 7.204855153897004]]]",9.993816
